rand. mult.,expert %,average,stdev,raw values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,0.269466667,0.078037892,0.276,0.318,0.24,0.172,0.262,0.206,0.292,0.12,0.286,0.252,0.212,0.296,0.474,0.348,0.268,0.266,0.356,0.296,0.348,0.3,0.292,0.308,0.228,0.384,0.15,0.228,0.216,0.168,0.154,0.368
6,30,0.348733333,0.063860804,0.326,0.32,0.342,0.284,0.35,0.252,0.338,0.262,0.38,0.32,0.482,0.262,0.494,0.458,0.38,0.338,0.32,0.246,0.322,0.42,0.422,0.348,0.304,0.41,0.376,0.308,0.306,0.384,0.372,0.336
6,50,0.363666667,0.052042644,0.428,0.412,0.288,0.356,0.302,0.378,0.238,0.288,0.36,0.394,0.394,0.362,0.39,0.402,0.274,0.332,0.414,0.366,0.412,0.384,0.338,0.446,0.406,0.454,0.322,0.316,0.34,0.38,0.358,0.376
6,70,0.360733333,0.045717222,0.38,0.366,0.384,0.324,0.398,0.282,0.33,0.298,0.384,0.386,0.378,0.396,0.378,0.38,0.254,0.378,0.338,0.374,0.396,0.264,0.404,0.432,0.318,0.404,0.316,0.406,0.378,0.412,0.366,0.318
6,90,0.3282,0.037351453,0.316,0.306,0.292,0.29,0.3,0.306,0.366,0.352,0.296,0.31,0.364,0.38,0.378,0.402,0.302,0.346,0.334,0.378,0.368,0.308,0.266,0.332,0.286,0.354,0.25,0.35,0.348,0.294,0.322,0.35
6,100,0.4234,0.043321254,0.456,0.394,0.436,0.352,0.478,0.432,0.374,0.408,0.448,0.452,0.402,0.404,0.458,0.482,0.348,0.416,0.39,0.406,0.42,0.454,0.352,0.484,0.434,0.488,0.42,0.406,0.398,0.518,0.364,0.428
5,10,0.2852,0.073408822,0.286,0.184,0.3,0.178,0.238,0.214,0.27,0.346,0.224,0.284,0.304,0.346,0.204,0.276,0.402,0.384,0.17,0.246,0.312,0.26,0.274,0.346,0.442,0.262,0.212,0.264,0.432,0.368,0.314,0.214
5,30,0.3524,0.078519754,0.318,0.328,0.326,0.354,0.434,0.312,0.412,0.284,0.268,0.36,0.324,0.37,0.362,0.344,0.408,0.444,0.26,0.468,0.51,0.336,0.336,0.23,0.398,0.402,0.396,0.36,0.472,0.126,0.352,0.278
5,50,0.3944,0.050236407,0.29,0.288,0.416,0.376,0.398,0.422,0.458,0.408,0.376,0.334,0.328,0.426,0.38,0.468,0.374,0.428,0.386,0.442,0.508,0.356,0.344,0.412,0.394,0.404,0.46,0.4,0.446,0.364,0.366,0.38
5,70,0.379533333,0.06191804,0.37,0.332,0.338,0.406,0.35,0.33,0.428,0.342,0.408,0.316,0.358,0.352,0.314,0.48,0.392,0.468,0.342,0.5,0.456,0.254,0.37,0.368,0.474,0.282,0.346,0.402,0.444,0.346,0.464,0.354
5,90,0.359,0.058951178,0.292,0.436,0.326,0.314,0.414,0.352,0.446,0.282,0.366,0.414,0.376,0.342,0.344,0.362,0.396,0.348,0.36,0.392,0.414,0.322,0.408,0.376,0.152,0.362,0.402,0.412,0.332,0.37,0.388,0.27
5,100,0.441466667,0.049863077,0.394,0.43,0.376,0.462,0.46,0.366,0.51,0.346,0.44,0.444,0.408,0.498,0.444,0.358,0.412,0.524,0.38,0.476,0.476,0.396,0.458,0.506,0.47,0.42,0.456,0.436,0.536,0.454,0.49,0.418
4,10,0.285866667,0.056475648,0.314,0.37,0.344,0.31,0.264,0.32,0.296,0.308,0.28,0.276,0.234,0.3,0.294,0.24,0.406,0.31,0.158,0.25,0.26,0.2,0.176,0.274,0.278,0.304,0.338,0.308,0.226,0.384,0.236,0.318
4,30,0.363733333,0.046903373,0.41,0.442,0.422,0.42,0.286,0.334,0.362,0.428,0.382,0.408,0.324,0.278,0.326,0.298,0.414,0.41,0.298,0.358,0.4,0.382,0.414,0.364,0.346,0.396,0.33,0.338,0.33,0.34,0.31,0.362
4,50,0.388066667,0.049350215,0.376,0.472,0.37,0.456,0.326,0.414,0.294,0.374,0.412,0.406,0.368,0.356,0.378,0.398,0.412,0.422,0.348,0.496,0.446,0.282,0.382,0.412,0.362,0.37,0.4,0.396,0.45,0.346,0.402,0.316
4,70,0.394933333,0.059282453,0.418,0.522,0.334,0.418,0.322,0.27,0.452,0.444,0.386,0.308,0.42,0.388,0.45,0.466,0.432,0.454,0.398,0.442,0.438,0.254,0.382,0.328,0.358,0.4,0.39,0.396,0.404,0.382,0.358,0.434
4,90,0.431666667,0.052501779,0.36,0.456,0.408,0.458,0.506,0.46,0.482,0.462,0.382,0.36,0.344,0.506,0.49,0.432,0.496,0.498,0.464,0.378,0.486,0.394,0.426,0.402,0.466,0.47,0.34,0.462,0.424,0.354,0.392,0.392
4,100,0.4354,0.073259388,0.472,0.564,0.506,0.502,0.216,0.476,0.452,0.444,0.366,0.436,0.44,0.394,0.434,0.474,0.594,0.346,0.396,0.428,0.532,0.308,0.438,0.478,0.444,0.472,0.438,0.382,0.428,0.396,0.398,0.408
3,10,0.293,0.068236404,0.312,0.274,0.182,0.102,0.188,0.276,0.34,0.252,0.366,0.238,0.358,0.28,0.378,0.316,0.202,0.288,0.282,0.378,0.322,0.262,0.27,0.332,0.294,0.332,0.246,0.37,0.316,0.434,0.292,0.308
3,30,0.351333333,0.064793217,0.402,0.352,0.33,0.316,0.18,0.274,0.302,0.334,0.368,0.39,0.358,0.352,0.398,0.264,0.352,0.274,0.418,0.434,0.368,0.306,0.266,0.356,0.322,0.456,0.332,0.434,0.352,0.466,0.444,0.34
3,50,0.3998,0.062137445,0.218,0.294,0.358,0.318,0.396,0.412,0.418,0.408,0.34,0.364,0.406,0.352,0.436,0.384,0.44,0.422,0.464,0.402,0.478,0.366,0.388,0.46,0.362,0.476,0.438,0.52,0.412,0.432,0.478,0.352
3,70,0.442666667,0.059179058,0.366,0.388,0.432,0.336,0.386,0.33,0.428,0.51,0.478,0.44,0.54,0.394,0.45,0.412,0.418,0.492,0.544,0.434,0.412,0.418,0.354,0.474,0.456,0.49,0.468,0.464,0.494,0.568,0.47,0.434
3,90,0.553933333,0.057644531,0.59,0.584,0.646,0.448,0.496,0.522,0.518,0.556,0.538,0.568,0.494,0.556,0.576,0.576,0.612,0.494,0.736,0.464,0.606,0.54,0.616,0.556,0.544,0.566,0.544,0.5,0.54,0.576,0.57,0.486
3,100,0.461133333,0.061933632,0.494,0.414,0.384,0.416,0.412,0.464,0.384,0.482,0.434,0.534,0.498,0.46,0.48,0.4,0.524,0.44,0.576,0.404,0.47,0.416,0.432,0.498,0.44,0.43,0.544,0.482,0.398,0.656,0.468,0.4
2,10,0.301133333,0.060630443,0.308,0.338,0.242,0.258,0.322,0.398,0.26,0.42,0.356,0.288,0.182,0.304,0.244,0.376,0.29,0.246,0.296,0.374,0.31,0.212,0.28,0.406,0.286,0.37,0.268,0.3,0.264,0.272,0.208,0.356
2,30,0.349666667,0.078621017,0.3,0.332,0.436,0.216,0.154,0.352,0.392,0.438,0.488,0.308,0.214,0.296,0.26,0.344,0.456,0.402,0.352,0.38,0.374,0.43,0.376,0.408,0.386,0.244,0.396,0.322,0.308,0.318,0.366,0.442
2,50,0.437133333,0.06032483,0.558,0.432,0.278,0.398,0.378,0.404,0.376,0.462,0.48,0.44,0.368,0.524,0.422,0.402,0.428,0.486,0.476,0.424,0.506,0.492,0.518,0.432,0.358,0.488,0.426,0.354,0.47,0.47,0.394,0.47
2,70,0.608466667,0.04980703,0.636,0.64,0.588,0.658,0.636,0.566,0.636,0.72,0.514,0.598,0.542,0.614,0.564,0.706,0.568,0.594,0.63,0.636,0.598,0.584,0.602,0.606,0.658,0.638,0.564,0.552,0.678,0.64,0.536,0.552
