0,0.5
1,0.507
2,0.505
3,0.518
4,0.483
5,0.482
6,0.564
7,0.463
8,0.51
9,0.493
10,0.528
11,0.512
12,0.493
13,0.516
14,0.463
15,0.483
16,0.572
17,0.558
18,0.458
19,0.504
20,0.529
21,0.467
22,0.493
23,0.526
24,0.469
25,0.478
26,0.46
27,0.518
28,0.545
29,0.54
average,0.5045666666666667
stdev,0.03155037934449615
