rand. mult.,average,stdev,raw values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.505266667,0.026719402,0.501,0.461,0.52,0.552,0.539,0.543,0.509,0.509,0.477,0.456,0.518,0.494,0.494,0.482,0.538,0.54,0.521,0.452,0.515,0.506,0.524,0.492,0.506,0.524,0.47,0.527,0.479,0.492,0.526,0.491
8,0.528466667,0.022161995,0.551,0.541,0.54,0.533,0.514,0.529,0.524,0.523,0.539,0.566,0.515,0.533,0.514,0.538,0.517,0.468,0.526,0.501,0.526,0.534,0.533,0.566,0.516,0.526,0.535,0.522,0.559,0.572,0.499,0.494
7,0.5696,0.020552037,0.568,0.579,0.569,0.63,0.55,0.592,0.601,0.558,0.573,0.583,0.56,0.56,0.555,0.564,0.574,0.587,0.558,0.59,0.562,0.581,0.594,0.577,0.537,0.542,0.536,0.579,0.551,0.55,0.551,0.577
6,0.641433333,0.01781453,0.642,0.647,0.608,0.638,0.603,0.637,0.653,0.646,0.618,0.638,0.633,0.651,0.668,0.655,0.64,0.637,0.629,0.662,0.62,0.635,0.667,0.658,0.651,0.661,0.647,0.607,0.664,0.643,0.659,0.626
5,0.730466667,0.021163947,0.71,0.72,0.73,0.74,0.72,0.734,0.72,0.731,0.704,0.772,0.752,0.742,0.76,0.692,0.73,0.725,0.719,0.699,0.692,0.737,0.754,0.762,0.74,0.762,0.726,0.737,0.741,0.72,0.699,0.744
4,0.8406,0.0144523,0.843,0.848,0.832,0.839,0.876,0.842,0.82,0.824,0.839,0.852,0.862,0.832,0.849,0.846,0.84,0.857,0.849,0.848,0.835,0.812,0.839,0.834,0.834,0.848,0.85,0.863,0.821,0.817,0.824,0.843
3,0.956433333,0.012957978,0.964,0.943,0.948,0.951,0.977,0.964,0.942,0.969,0.942,0.977,0.968,0.969,0.95,0.951,0.959,0.951,0.962,0.944,0.956,0.97,0.965,0.956,0.965,0.957,0.959,0.914,0.957,0.966,0.941,0.956
2,0.999533333,0.001224276,1,1,1,1,1,1,0.999,1,1,1,1,0.994,1,0.999,1,1,1,1,0.999,0.999,1,1,1,0.999,1,1,0.997,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
