12,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.01, 0.01, 0.04, 0.0, 0.02], 60: [0.02, 0.02, 0.02, 0.04, 0.07], 70: [0.04, 0.01, 0.01, 0.05, 0.01], 80: [0.07, 0.03, 0.05, 0.06, 0.060000000000000005], 90: [0.07, 0.09, 0.07, 0.060000000000000005, 0.060000000000000005]}
13,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.01, 0.02, 0.0, 0.0], 50: [0.0, 0.02, 0.01, 0.0, 0.0], 60: [0.04, 0.03, 0.02, 0.03, 0.01], 70: [0.06, 0.05, 0.04, 0.07, 0.04], 80: [0.06, 0.06, 0.09, 0.09, 0.02], 90: [0.06, 0.05, 0.07, 0.07, 0.09]}
14,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.02, 0.0, 0.0, 0.0, 0.02], 40: [0.08, 0.02, 0.02, 0.03, 0.0], 50: [0.09, 0.03, 0.03, 0.03, 0.02], 60: [0.12, 0.1, 0.11, 0.08, 0.13], 70: [0.13, 0.1, 0.08, 0.11000000000000001, 0.15000000000000002], 80: [0.17, 0.12, 0.15000000000000002, 0.15000000000000002, 0.15000000000000002], 90: [0.25, 0.16999999999999998, 0.15000000000000002, 0.22, 0.19]}
15,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.01, 0.01, 0.0, 0.0], 50: [0.05, 0.01, 0.02, 0.03, 0.02], 60: [0.06, 0.03, 0.03, 0.05, 0.04], 70: [0.07, 0.08, 0.08, 0.07, 0.09], 80: [0.08, 0.03, 0.1, 0.09000000000000001, 0.1], 90: [0.12000000000000001, 0.13, 0.11, 0.09, 0.11000000000000001]}
16,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.01, 0.01, 0.01, 0.0, 0.0], 50: [0.01, 0.0, 0.03, 0.0, 0.01], 60: [0.03, 0.05, 0.06, 0.02, 0.02], 70: [0.06, 0.06999999999999999, 0.04, 0.05, 0.07], 80: [0.06, 0.06, 0.09, 0.09, 0.08], 90: [0.13, 0.07, 0.11000000000000001, 0.09, 0.09]}
17,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.01, 0.0, 0.01, 0.0, 0.01], 50: [0.02, 0.0, 0.02, 0.0, 0.01], 60: [0.03, 0.02, 0.02, 0.01, 0.02], 70: [0.04, 0.02, 0.05, 0.01, 0.08], 80: [0.05, 0.06, 0.07, 0.060000000000000005, 0.04], 90: [0.05, 0.04, 0.06, 0.06, 0.05]}
18,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.01, 0.0, 0.02, 0.02, 0.01], 50: [0.01, 0.02, 0.02, 0.0, 0.0], 60: [0.05, 0.02, 0.01, 0.03, 0.02], 70: [0.01, 0.04, 0.03, 0.02, 0.01], 80: [0.05, 0.06, 0.06, 0.04, 0.05], 90: [0.07, 0.06999999999999999, 0.03, 0.04, 0.05]}
19,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.02, 0.01, 0.0, 0.0], 50: [0.02, 0.0, 0.01, 0.0, 0.01], 60: [0.02, 0.03, 0.01, 0.0, 0.0], 70: [0.01, 0.01, 0.0, 0.02, 0.01], 80: [0.02, 0.01, 0.02, 0.03, 0.02], 90: [0.03, 0.03, 0.02, 0.02, 0.03]}
20,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.01, 0.01, 0.0, 0.02, 0.0], 50: [0.02, 0.01, 0.01, 0.0, 0.0], 60: [0.01, 0.02, 0.03, 0.03, 0.04], 70: [0.05, 0.07, 0.05, 0.06, 0.05], 80: [0.07, 0.060000000000000005, 0.04, 0.07, 0.08], 90: [0.07, 0.11, 0.07, 0.06, 0.06]}
21,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.0, 0.0, 0.0, 0.0], 60: [0.0, 0.0, 0.0, 0.0, 0.0], 70: [0.02, 0.0, 0.0, 0.01, 0.0], 80: [0.0, 0.01, 0.0, 0.0, 0.0], 90: [0.02, 0.02, 0.01, 0.01, 0.03]}
