45,0.445,0.456,0.504,0.524,0.545,0.515
46,0.364,0.402,0.411,0.471,0.57,0.451
47,0.403,0.417,0.428,0.463,0.481,0.465
48,0.379,0.378,0.423,0.481,0.559,0.504
49,0.365,0.386,0.401,0.429,0.46,0.469
