10,0.136,0.162,0.196,0.192,0.172
10,0.032,0.058,0.054,0.038,0.044
20,0.788,0.688,0.664,0.854,0.784
20,0.07,0.058,0.068,0.064,0.07
30,0.968,0.976,0.968,0.99,0.972
30,0.068,0.094,0.082,0.06,0.054
40,0.996,0.998,1.0,0.998,1.0
40,0.064,0.056,0.086,0.076,0.068
50,1.0,1.0,1.0,1.0,1.0
50,0.088,0.078,0.082,0.082,0.084
60,1.0,1.0,1.0,1.0,1.0
60,0.076,0.06,0.078,0.074,0.09
70,1.0,1.0,1.0,1.0,1.0
70,0.08,0.082,0.084,0.078,0.102
80,1.0,1.0,1.0,1.0,1.0
80,0.09,0.098,0.062,0.09,0.106
90,1.0,1.0,1.0,1.0,1.0
90,0.074,0.124,0.102,0.09,0.064
100,1.0,1.0,1.0,1.0,1.0
100,0.088,0.106,0.084,0.076,0.118
